M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   |   after  RESET_SYNC_NFF_POST_GRID_JOB Execution:M=2464.32mb, Malloc-M=554mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   |   |   before DATA_SYNC_NFF_POST_GRID_JOB Execution:M=2464.32mb, Malloc-M=554mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   |   |   |   before #FFBanks Detected : M=2464.32mb, Malloc-M=554mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   |   |   |   after  #FFBanks Detected : M=2464.32mb, Malloc-M=554mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   |   |   after  DATA_SYNC_NFF_POST_GRID_JOB Execution:M=2464.32mb, Malloc-M=554mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   |   after  CDC :: Detecting Nff Phase-1: , RESET :: Detecting Nff Phase-1:  analysis: M=2464.32mb, Malloc-M=554mb, Available-M=24381mb, T=0s CPU=0.03s W=(2026-06-14 21:38:21)
STATS:: |   after  CDC_RESET ::  Detecting Nff Phase-1: M=2464.32mb, Malloc-M=553mb, Available-M=24381mb, T=0s CPU=0.04s W=(2026-06-14 21:38:21)
STATS:: |   before CDC :: Detecting UDS: M=2464.32mb, Malloc-M=553mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   after  CDC :: Detecting UDS: M=2464.32mb, Malloc-M=553mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   before RESET :: Detecting UDS: M=2464.32mb, Malloc-M=553mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   after  RESET :: Detecting UDS: M=2464.32mb, Malloc-M=553mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   before CDC :: Parsing Data Sync Constraint: M=2464.32mb, Malloc-M=553mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   after  CDC :: Parsing Data Sync Constraint: M=2464.32mb, Malloc-M=553mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   before CDC :: Analyzing Data Sync Constraint: M=2464.32mb, Malloc-M=553mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   after  CDC :: Analyzing Data Sync Constraint: M=2464.32mb, Malloc-M=553mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   before RESET :: Parsing Data Sync Constraint: M=2464.32mb, Malloc-M=553mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   after  RESET :: Parsing Data Sync Constraint: M=2464.32mb, Malloc-M=553mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   before RESET :: Analyzing Data Sync Constraint: M=2464.32mb, Malloc-M=553mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   after  RESET :: Analyzing Data Sync Constraint: M=2464.32mb, Malloc-M=553mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   before CDC :: SeqFrontier Job Creation: M=2464.32mb, Malloc-M=553mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   after  CDC :: SeqFrontier Job Creation: M=2464.32mb, Malloc-M=553mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
